Question,Answer
What does the law on page 11 state?,"granted leave to enter on arrival.
25. Entry clearance takes the form of a visa (for
visa nationals) or an entry certiﬁcate (for non visa
nationals). A visa or an entry certiﬁcate may be
issued in electronic form. These documents are to
be taken as evidence of the holder’s eligibility for
entry into the United Kingdom, and accordingly
accepted as “entry clearances” within the meaning
of the Immigration Act 1971.
25A. An entry clearance which satisﬁes the
requirements set out in article 3 of the Immigration
(Leave to Enter and Remain) Order 2000 will have
effect as leave to enter the United Kingdom. The
requirements are that the entry clearance must
specify the purpose for which the holder wishes to
enter the United Kingdom and should be endorsed
with the conditions to which it is subject or wish a
statement that it has effect as indeﬁnite leave to
enter the United Kingdom. The holder of such an
entry clearance will not require leave to enter on
arrival in the United Kingdom and, for the purposes
of these Rules, will be treated as a person who has
arrived in the United Kingdom with leave to enter
the United Kingdom which is in force but which was
given to him before his arrival.
26. An application for entry clearance will be
considered in accordance with the provisions in
these Rules governing the grant or refusal of leave
to enter. Where appropriate, the term “Entry
Clearance Ofﬁcer” should be substituted for
“Immigration Ofﬁcer”.
27. An application for entry clearance is to be
decided in the light of the circumstances existing at
the time of the decision, except that an applicant
will not be refused an entry clearance where entry
is sought in one of the categories contained in
paragraphs 296-316 or paragraph EC-C of
Appendix FM solely on account of his attaining the
age of 18 years between receipt of his application
and the date of the decision on it.
28. An applicant for an entry clearance must be
outside the United Kingdom and Islands at the time
of the application. An application for an entry
clearance as a visitor or as a short-term student or
under Appendix Ukraine Scheme must be made to
any post designated by the Secretary of State to15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 11/27"
What does the law on page 12 state?,"accept such applications. Subject to paragraph
28A, any other application must be made to a post
in the country or territory where the applicant is
living which has been designated by the Secretary
of State to accept applications for entry clearance
for that purpose and from that category of applicant.
Where there is no such post the applicant must
apply to the appropriate designated post outside
the country or territory where he is living.
28A (a) An application for entry clearance under
Appendix Temporary Work-Creative Worker or
Appendix International Sportsperson, where the
applicant is applying for a period of permission of
12 months or less, may also be made at the post in
the country or territory where the applicant is
situated at the date of application, provided that:
(i) the post has been designated by the
Secretary of State to accept applications for
entry clearance for that purpose and from that
category of applicant; and
(ii) the applicant is in that country or territory for
a similar purpose to the activity they propose to
undertake in the UK; and
(iii) the applicant is able to demonstrate to the
Entry Clearance Ofﬁcer that they have been
given permission to live in that country or
territory in accordance with its immigration laws.
(b) An application for entry clearance under
Appendix Global Talent or Appendix Youth
Mobility Scheme may be made at the post in the
country or territory where the applicant is
situated at the date of application, provided that:
(i) the post has been designated by the
Secretary of State to accept applications for
entry clearance for that purpose and from
that category of applicant; and
(ii) the applicant is able to demonstrate to
the Entry Clearance Ofﬁcer that they have
been given permission to live in that country
or territory in accordance with its
immigration laws and that the permission
was given for a period of more than 6
months.
29. For the purposes of paragraph 28 “post” means
a British Diplomatic Mission, British Consular post15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 12/27"
What does the law on page 13 state?,"or the ofﬁce of any person outside the United
Kingdom and Islands who has been authorised by
the Secretary of State to accept applications for
entry clearance. A list of designated posts is
published by the Foreign and Commonwealth
Ofﬁce.
30. An application for an entry clearance is not
made until any fee required to be paid under the
regulations made under sections 68 and 69 of the
Immigration Act 2014 has been paid.
30A. DELETED.
30B. An entry clearance shall cease to have effect
where the entry clearance has effect as leave to
enter and an Immigration Ofﬁcer cancels that leave
in accordance with paragraph 2A(8) of Schedule 2
to the Immigration Act 1971.
30C. An Immigration Ofﬁcer may cancel an entry
clearance which is capable of having effect as leave
to enter if the holder arrives in the United Kingdom
before the day on which the entry clearance
becomes effective or if the holder seeks to enter the
United Kingdom for a purpose other than the
purpose speciﬁed in the entry clearance.
Variation of leave to enter or remain
in the United Kingdom
31. DELETED.
31A. DELETED.
32.DELETED
33.DELETED
33A. DELETED.
33B-33G DELETED
A34. Paragraphs 34 and 34A apply to an
application made under the following rules:
(a) paragraph 167 to 168 (Indeﬁnite leave to
remain for an overseas government employee);
(b) paragraph 184 to 185 (Indeﬁnite leave to
remain for a member of the operational ground
staff of an overseas owned airline);
(c) paragraph 245D to 245DF (Tier 1
(Entrepreneur) Migrants);15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 13/27"
What does the law on page 14 state?,"(d) paragraph 245E to 245EF (Tier 1 (Investor)
Migrants);
(e) paragraph 319A to 319J (Family members of
Relevant Points Based System Migrants or
Appendix W Worker);
(f) Appendix W Workers;
(g) paragraph 276DI to 276AI Armed Forces
Rules;
(h) paragraph 309A to 316F (Adopted Children);
(i) Part 8;
(j) Part 14 (Stateless Persons);
(k) DELETED
(l) Appendix Armed Forces.
How to make a valid application for
permission to stay in the UK
34. an application for permission to stay must be
made in accordance with sub-paragraphs (1) to (9)
below.
(1) (a) Subject to paragraph 34(1)(c), the
application must be made on an application
form which is speciﬁed for the immigration
category under which the applicant is applying
on the date on which the application is made.
(b) An application form is speciﬁed when it is
posted on the visa and immigration pages of
the GOV.UK website.
(c) An application can be made on a
previous version of a speciﬁed paper
application form (and shall be treated as
made on a speciﬁed form) as long as it is no
more than 21 days out of date.
(2) All mandatory sections of the application
form must be completed.
(3) Where the applicant is required to pay a fee,
this fee must be paid in full in accordance with
the process set out in the application form
unless the applicant has made an application
for a fee waiver which has been granted in
whole or in part.15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 14/27"
What does the law on page 15 state?,"(4) Where the applicant is required to pay the
Immigration Health Surcharge, this must be paid
in accordance with the process set out on the
visa and immigration pages of the GOV.UK
website.
(5) (a) Subject to paragraph 34(5)(c), the
applicant must provide proof of identity as
described in 34(5)(b) below and in accordance
with the process set out in the application form.
(b) Proof of identity for the purpose of this
paragraph means:
(i) a valid passport or, if an applicant
(except a PBS applicant) does not have
a valid passport, a valid national identity
card; or
(ii) if the applicant does not have a valid
passport or national identity card, their
most recent passport or (except a PBS
applicant) their most recent national
identity card; or
(iii) if the applicant does not have any of
the above, a valid travel document.
(c) Proof of identity need not be provided
where:
(i) the applicant’s passport, national
identity card or travel document is held
by the Home Ofﬁce at the date of
application; or
(ii) the applicant’s passport, nationality
identity card or travel document has
been permanently lost or stolen and
there is no functioning national
government to issue a replacement; or
(iii) the applicant’s passport, nationality
identity card or travel document has
been retained by an employer or other
person in circumstances which have led
to the applicant being the subject of a
positive conclusive grounds decision
made by a competent authority under
the National Referral Mechanism; or
(iv) the application is for limited leave to
enable access to public funds pending
an application under paragraph 289A of,15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 15/27"
What does the law on page 16 state?,"or under Part 6 of Appendix Armed
Forces; or
(v) the application is made under Part 14
of these rules, for leave as the family
member of a stateless person; or
(vi) the application was made by a
person in the UK with refugee leave or
humanitarian protection; or
(vii) the applicant provides a good
reason beyond their control why they
cannot provide proof of their identity.
(6) Where any of paragraph 34(5)(c)(ii)-(vii)
applies, the Secretary of State may ask the
applicant to provide alternative satisfactory
evidence of their identity and nationality.
(7) Where the main applicant is under the age of
eighteen, their parent or legal guardian must
provide written consent to the application.
(8) Where the application is made on a paper
application form, it must be sent by pre-paid
post or courier to the address on the application
form.
(9) An applicant must comply with the
application process set out on the visa and
immigration pages on GOV.UK and in the
invitation to enrol biometrics which is provided
as part of the application process in relation to –
(a) making an appointment to provide
biometrics, and
(b) providing any evidence requested by the
Secretary of State in support of their
application.
Invalid applications
34A. Subject to paragraph 34B, an application for
permission to stay which does not meet the
requirements of paragraph 34 will be rejected as
invalid and not considered.
34B. (1) Where an application for permission to
stay does not meet the requirements of paragraph
34(1) to (9), or the validity requirements for the
route under which they are applying, the Secretary
of State may notify the applicant and give them one15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 16/27"
What does the law on page 17 state?,"opportunity to correct the error(s) or omission(s)
identiﬁed by the Secretary of State within the
timescale speciﬁed in the notiﬁcation.
(2). Where an applicant does not comply with
the notiﬁcation in paragraph 34B(1), or with the
requirements in paragraph 34G(4), the
application is invalid and will not be considered
unless the Secretary of State exercises
discretion to treat an invalid application as valid
and either the requirements of paragraph 34(3),
(4) and (5), or any requirement to pay a fee and
Immigration Health Charge and provide
biometrics, has been met.
(3) Notice of invalidity will be given in writing
and served in accordance with Appendix SN of
these Rules.
Variation of an application
34BB Except where one or more applications have
been made under Appendix EU (see paragraph
EU10 of Appendix EU):
(1) Where an applicant has an outstanding
application for entry clearance or permission to stay
which has not been decided (“the previous
application”), any further application for entry
clearance or permission to stay will be treated as
an application to vary the previous application and
only the most recent application will be considered.
(2) An application to vary a previous application
must comply with the requirements of paragraph
34, or the validity requirements for the route applied
for or, subject to paragraph 34B, the application to
vary will be invalid and will not be considered.
(3) Any valid application to vary a previous
application will be decided in accordance with the
immigration rules in force at the date the application
to vary is made.
(4) Where an application to vary a previous
application has been made, the Secretary of State
will contact the applicant to notify them that the
application is being treated as an application to vary
and that any previous application will have been
varied.15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 17/27"
What does the law on page 18 state?,"(5) Where more than one application to vary has
been made, or where it is not clear which is the
most recent application, the Secretary of State will
request that the applicant conﬁrm which application
they want to be considered.
(6) If the applicant does not provide conﬁrmation
within 14 days of the request, the most recent
application will be considered and any other
applications will be treated as varied, unless it is not
clear which is the most recent application, in which
case all applications will be treated as invalid.
(7) Where a human rights claim is made as part of
an application and a subsequent application is
made which varies that application under paragraph
34BB(1), if the applicant is then granted entry
clearance or permission to stay, any outstanding
human rights claim will be treated as withdrawn, but
where any subsequent application is refused, the
human rights claim, if not already decided, remains
outstanding and will be considered at a time
decided by the Secretary of State.
Applications made by dependants
34C. A dependent applicant can be included on a
main applicant’s application form where the
application form allows the dependant to be
included. Otherwise, a dependent must make a
separate application.
34DA. An applicant applying as a dependent
partner or dependent child must be applying as the
partner or child of a person (P) where:
(i) P has made a valid application for entry
clearance, permission to enter, permission to
stay or settlement on the same route as the
applicant and that application has not been
decided; or
(ii) P has entry clearance, permission to enter,
or permission to stay, on the same route as the
route on which the applicant is applying; or
(iii) P is settled or a British citizen, providing P
had permission on the route on which the
applicant is applying when they settled, and the
applicant had permission as their partner or
child at that time.15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 18/27"
What does the law on page 19 state?,"34D. DELETED
34E. DELETED.
34F. DELETED.
Date of application (or variation of application)
for permission to stay
34G. For the purposes of these rules, and subject
to paragraph 34GB, the date on which an
application is made is:
(1) where the paper application form is sent by
post by Royal Mail, whether or not accompanied
by a fee waiver request form, the date of posting
as shown on the tracking information provided
by Royal Mail or, if not tracked, by the postmark
date on the envelope; or
(2) where the paper application form is sent by
courier, or other postal services provider, the
date on which it is delivered to the Home Ofﬁce;
or
(3) where the application is made via the online
application process, and there is no request for
a fee waiver, the date on which the online
application is submitted; or
(4) where the online application includes a
request for a fee waiver, the date on which the
online request for a fee waiver is submitted, as
long as the completed application for permission
to stay is submitted within 10 working days of
the receipt of the decision on the fee waiver
application.
34GA. Where an application is rejected as invalid
that decision will be served in accordance with
Appendix SN.
34GB. Where a variation application is made in
accordance with paragraph 34BB, the date the
variation application (the new application) is made
is deemed to be the date the previous application
was made prior to it being varied (the old
application).
34GC. Where a partner, child or other dependent is
included in the variation application (the new15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 19/27"
What does the law on page 20 state?,"application) and was not included in the application
which has been varied (the old application) the date
of application for the dependant’s application is the
date the variation application (the new application)
was made.
Withdrawal of an application for entry
clearance, permission to enter and permission
to stay in the United Kingdom
34H. An applicant may ask to withdraw their
application for entry clearance, permission to enter
or permission to stay at any time before a decision
is made on the application by making a request in
writing or by completing the withdrawal process at
www.gov.uk/cancel-visa (https://www.gov.uk/cancel-
visa). If the request to withdraw the application is
accepted the date of withdrawal is the date on
which the request was received by the Home
Ofﬁce.
34I. There is no requirement to agree to the
withdrawal of an application for entry clearance,
permission to enter or permission to stay and the
decision maker may instead decide the application.
34J. The proof of identity provided under paragraph
34(5), or any other application for permission to
stay, will be returned to the applicant whilst their
application is being considered, unless the
Secretary of State considers it necessary to retain
it.
34K. Where a decision on an application for
permission to stay has not been made and the
applicant travels outside the common travel area
their application will be treated as withdrawn on the
date the applicant left the common travel area.
Void applications
34KA. An application is void where it would not be
possible to grant the applicant the permission for
which they applied.
34KB. If an application is void, it will not be
considered.15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 20/27"
